Location,Rating,Comment,Transaction Date and Time,Transaction Value,feedback_id,,
Oamaru  ,5,Friendly staff,19/10/2024 9:46:00 AM,$4.68,4974775,,
Greymouth  ,5,Lovely rich coffee. Great service too.,19/10/2024 8:02:00 AM,$0.00,4974777,,
Richmond,5,I just love the friendly service and staff who remember your order and always make me feel welcome,19/10/2024 6:38:00 AM,$10.30,4974778,,
Papanui  ,5,Friendly service and great coffee,19/10/2024 9:04:00 AM,$19.60,4974783,,
Nelson ,5,Your friendly staff who remember my order each time,19/10/2024 9:56:00 AM,$4.00,4974785,,
Crofton Downs  ,5,Great coffee,19/10/2024 6:30:00 AM,$9.86,4974786,,
Warkworth  ,5,"The exclent coffee, food stuff presentation and prompt friendly service - always my first choice.",19/10/2024 7:12:00 AM,$4.00,4974787,,
Williams Drive,5,Friendly and efficient service,19/10/2024 7:22:00 AM,$5.30,4974790,,
Ellerslie ,5,Fast and friendly as always,19/10/2024 9:21:00 AM,$26.30,4974791,,
Nelson ,5,Great coffee & quick service thank you - Judy,19/10/2024 9:50:00 AM,$3.80,4974792,,
Domain,5,Friendly service. Coffee was quickly made and tasted great,19/10/2024 6:12:00 AM,$5.00,4974793,,
Whangarei  ,5,Great cafe. Great staff,19/10/2024 9:31:00 AM,$10.20,4974797,,
Aubyn  ,5,Helpful attendants & good coffee,19/10/2024 8:47:01 AM,$5.30,4974798,,
Whangarei  ,5,The service is always outstanding and food is fresh,19/10/2024 10:16:00 AM,$10.40,4974799,,
Te Rapa  ,5,"The staff and owners of the ABCs Cafe in Mitre 10 MEGA, the Base, Hamilton are absolutely amazing. Always happy, friendly, helpful and I love that they know me by name and what I like to drink. The coffee is consistently great and the food is delicious.",19/10/2024 7:56:00 AM,$4.97,4974801,,
Riccarton,5,Always Polite and friendly staff. Clean and very efficient.,19/10/2024 10:14:00 AM,$5.13,4974802,,
Gate Pa ,4,The food was good and the cafe was comfortable,19/10/2024 8:34:00 AM,$5.30,4974805,,
Gisborne  ,5,Clean and very friendly service.,19/10/2024 9:55:00 AM,$9.31,4974808,,
Pukekohe  ,5,Always good value,19/10/2024 8:15:00 AM,$8.50,4974814,,
Oamaru  ,5,Yummy hot chocolate.,19/10/2024 9:23:00 AM,$20.00,4974817,,
Gate Pa ,4,Have fresher Louise slice,19/10/2024 10:22:00 AM,$15.70,4974818,,
Rotorua,5,Great customer service,19/10/2024 9:47:00 AM,$10.50,4974819,,
Palmerston Nth,5,Coffee is always great and the ginger slice was nice a gingery.,19/10/2024 8:59:00 AM,$10.60,4974820,,
Ashburton ,5,Great Coffee,19/10/2024 9:26:00 AM,$8.82,4974826,,
Palmerston Nth ,5,"Friendly staff, lovely food. Thanks",19/10/2024 8:45:01 AM,$17.30,4974827,,
Manukau Centre,5,"The barista was very pleasant and asked if I wanted to use points to pay for my coffee.
No one else has asked that question. I really appreciated that.",19/10/2024 9:21:00 AM,$5.00,4974829,,
Broadway,5,great staff good coffee,19/10/2024 9:36:00 AM,$9.30,4974834,,
Rangiora,4,A little friendlier with smiles ??,19/10/2024 10:39:00 AM,$5.50,4974835,,
Henderson  ,5,The coffee was great,19/10/2024 10:13:00 AM,$5.80,4974838,,
Rotorua,5,"The kumara bene, the flat white coffee as well as the service with a smile!",19/10/2024 9:03:00 AM,$9.50,4974839,,
Marlborough  ,5,"Friendly, friendly staff, the personal greetings on arrival, the barrista happy to person the till, and the quick arrival of the coffee to the table.",19/10/2024 8:34:00 AM,$10.10,4974841,,
Palmerston Nth,5,"Such friendly staff, I’m a regular there.",19/10/2024 9:22:00 AM,$10.60,4974843,,
Oamaru  ,5,Staff Friendly and coffee great,19/10/2024 9:37:00 AM,$12.40,4974845,,
Albany  ,5,Tasty milky coffee,19/10/2024 9:00:00 AM,$5.30,4974846,,
Nelson  ,5,"Great food, coffee and very friendly service",19/10/2024 10:22:00 AM,$30.10,4974848,,
Palmerston Nth ,4,More food variety,19/10/2024 8:07:00 AM,$3.80,4974849,,
Upper Hutt,5,As a regular I am always given a warm welcome,19/10/2024 9:44:00 AM,$10.50,4974850,,
Ashburton ,5,Great service,19/10/2024 8:00:00 AM,$8.19,4974854,,
Petone  ,5,Friendly and quick service. Coffee and muffin very much to our liking. Clean comfortable table and chair. Welcoming environment.,19/10/2024 8:11:00 AM,$14.10,4974855,,
Rangiora,5,"Been going since they opened most days and they know me, and get it exactly as i like it extra hot, when they see me coming its already being made.",19/10/2024 9:42:00 AM,$5.30,4974857,,
Takanini  ,5,"lovely staff, lovely food and great playground for littlies??",19/10/2024 8:35:00 AM,$10.80,4974858,,
Kapiti  ,5,Space...good coffee...nice staff,19/10/2024 10:36:00 AM,$5.30,4974859,,
Pakuranga,5,The staff know my order without asking and always serve me with a smile . And always have great conversations,19/10/2024 10:11:00 AM,$5.30,4974861,,
Levin  ,5,Lovely friendly staff,19/10/2024 11:04:00 AM,$5.30,4974866,,
Broadway,5,Friendly and obliging staff,19/10/2024 9:18:00 AM,$10.10,4974867,,
Palmerston Nth ,5,Muffins light and fluffy. Service rezlly good.,19/10/2024 9:55:00 AM,$14.30,4974868,,
Queenstown  ,5,Great food coffee and service,19/10/2024 10:52:00 AM,$31.90,4974872,,
Dunedin  ,5,good coffee,19/10/2024 9:22:00 AM,$11.60,4974874,,
Cambridge  ,5,Staff and muffins,19/10/2024 8:36:00 AM,$15.00,4974877,,
Ashburton ,5,Staff are always friendly and helpful and always check if your meal is good.,19/10/2024 9:18:00 AM,$0.00,4974879,,
Richmond,5,"The staff at Richmond branch are excellent. Go above and beyond and they always seem happy at their place of work.

Great food too!",19/10/2024 8:57:00 AM,$12.80,4974880,,
Petone  ,5,I love this cafe. I come here all the time.,19/10/2024 8:32:00 AM,$6.10,4974885,,
Hornby  ,5,"Good Coffee, nice food choice, friendly staff and a clean cafe.When are they going to bring back the newspapers? Missing them.",19/10/2024 9:44:00 AM,$9.30,4974886,,
Marlborough  ,5,Service & food,19/10/2024 9:37:00 AM,$42.20,4974888,,
Wanganui  ,5,"Nice staff, great service",19/10/2024 9:19:00 AM,$9.80,4974889,,
Rangiora,5,The lovely staff and they make a consistent hot coffee and don't stuff up my order. All I ask really,19/10/2024 10:29:00 AM,$15.10,4974890,,
Kapiti  ,4,Less noise. It is a very noisy interior,19/10/2024 9:09:00 AM,$4.90,4974891,,
Broadway,4,Friendlier customer service,19/10/2024 9:26:00 AM,$16.80,4974892,,
Gate Pa ,5,Food and service,19/10/2024 11:18:00 AM,$20.50,4974895,,
Botany ,5,Friendliness of all the staff.,19/10/2024 9:01:00 AM,$15.00,4974896,,
Te Awamutu  ,5,The service.,19/10/2024 9:20:00 AM,$5.30,4974900,,
Queenstown  ,5,Great place to go,19/10/2024 9:50:00 AM,$4.70,4974901,,
New Lynn  ,5,The food and friendly staff are the main attractions to your shop. The coffee food and the lovely staff that look after us. Thank you.,19/10/2024 8:57:00 AM,$12.50,4974902,,
Hornby  ,5,Good service and better coffee.,19/10/2024 7:14:00 AM,$5.22,4974904,,
Petone  ,5,Clean and great service,19/10/2024 10:04:00 AM,$9.30,4974905,,
Pukekohe  ,5,Great service and great coffee.,19/10/2024 9:51:00 AM,$5.00,4974906,,
Palmerston Nth,5,"Great food, Exellent service.",19/10/2024 8:54:00 AM,$10.10,4974907,,
New Plymouth  ,5,"Great service . Good food and coffee. 
My sisters birthday was lovely",19/10/2024 9:00:00 AM,$25.60,4974913,,
Aubyn  ,5,"Great courteous, friendly service.",19/10/2024 10:53:01 AM,$30.60,4974915,,
Te Rapa  ,5,Quick service tasty food,19/10/2024 11:02:00 AM,$25.50,4974916,,
Hastings  ,5,Excellent service friendly staff...lovely food nicely presented in cabinets,19/10/2024 9:44:00 AM,$3.42,4974918,,
Hastings  ,4,"The size of the slices is small. Otherwise, easy parking, staff very friendly and professional, clean premises, good choice of food.",19/10/2024 9:43:00 AM,$10.00,4974919,,
Rangiora,5,"Staff are really friendly, they know my order and I always receive great service.",19/10/2024 9:54:00 AM,$0.00,4974920,,
Gisborne  ,5,"New menu
Great service
Good coffee",19/10/2024 10:18:00 AM,$57.00,4974921,,
Henderson,5,Extremely friendly personnel and the food is always great.,19/10/2024 10:49:00 AM,$22.00,4974922,,
Hornby  ,5,Great range of food,19/10/2024 9:54:00 AM,$0.00,4974924,,
Napier  ,5,Just everyone having a relaxing and enjoyable time. Staff always listen to your order. Love coming.,19/10/2024 9:29:00 AM,$4.80,4974925,,
Cambridge  ,4,More prize draws ?,19/10/2024 8:50:00 AM,$8.50,4974929,,
Albany ,5,coffee & friendly services,19/10/2024 9:57:00 AM,$13.50,4974930,,
Rotorua  ,5,personal service and advice,19/10/2024 11:01:00 AM,$28.60,4974931,,
Broadway,5,Wonderful friendly service. great coffee and best scones.,19/10/2024 9:30:00 AM,$10.10,4974932,,
Rotorua  ,5,"Great coffee, lovely staff and very clean",19/10/2024 8:31:00 AM,$15.40,4974935,,
Westgate  ,5,Great friendly service and consistently great food and coffee??,19/10/2024 9:45:00 AM,$10.30,4974943,,
New Lynn  ,5,Great location. Great friendly staff. The best coffee.,19/10/2024 8:24:00 AM,$9.00,4974944,,
Riccarton,5,"Staff know my order, very friendly",19/10/2024 10:25:00 AM,$18.98,4974945,,
Rangiora,5,Great food anf service,19/10/2024 10:09:00 AM,$14.30,4974947,,
Taupo  ,5,Good service and great coffee & food,19/10/2024 10:14:00 AM,$14.50,4974948,,
Lincoln Road,5,Tasty food. Quick service. No interruptions,19/10/2024 10:35:00 AM,$11.30,4974955,,
Te Awamutu  ,5,Top service today,19/10/2024 8:18:00 AM,$17.20,4974956,,
Ferryhead,5,"Great service 
Nice people
Good coffee",19/10/2024 11:08:00 AM,$10.60,4974959,,
Porirua  ,5,"Fast friendly staff, great coffee and lovely scones",19/10/2024 7:38:00 AM,$5.30,4974960,,
Taupo  ,5,Nice coffee,19/10/2024 9:07:00 AM,$8.10,4974962,,
Palmerston Nth ,5,the food is delicious and always consistent,19/10/2024 9:54:00 AM,$29.50,4974964,,
Henderson,5,The store nice and tidy. Also have the friendly staff,19/10/2024 12:13:00 PM,$5.50,4974965,,
Ruakura  ,5,Staff were really awesome and friendly. Forgot my order but it was near closing time but very quickly made up a new drink The bro on the coffee machine was cool too,19/10/2024 12:08:00 PM,$5.40,4974968,,
Westgate  ,5,Coffee is always amazing!!! And service is exceptional!,19/10/2024 8:37:00 AM,$6.00,4974969,,
Upper Hutt,5,"Very good coffee, nice atmosphere.",19/10/2024 12:01:00 PM,$5.80,4974976,,
Hornby  ,5,Just great friendly service,19/10/2024 8:28:00 AM,$9.27,4974977,,
Wanganui  ,5,"Friendly staff. Yummy coffee, ambience",19/10/2024 9:43:00 AM,$5.30,4974978,,
Glenfield ,5,"Fabulous muffins and carrot cake, perfect coffees and very friendly staff . Who could want for more!",19/10/2024 10:10:00 AM,$14.20,4974979,,
Napier  ,5,The service excellent,19/10/2024 9:04:00 AM,$27.37,4974981,,
Ellerslie ,5,Service was excellent,19/10/2024 10:31:00 AM,$5.30,4974983,,
Botany ,5,Fast and friendly service,19/10/2024 12:33:00 PM,$5.30,4974985,,
Upper Hutt,5,Good coffee and staff,19/10/2024 12:13:00 PM,$9.50,4974989,,
New Lynn  ,5,"High standard as usual, friendly efficient staff.Splendid coffee!",19/10/2024 10:10:00 AM,$9.80,4974990,,
New Lynn  ,4,Your cheese scones are very hit & miss in quality - a shame as they have a great taste when they are good - unfortunately recently they have looked very dry & unappealing,19/10/2024 8:43:00 AM,$5.30,4974995,,
Te Awamutu  ,5,The service was impeccable,19/10/2024 10:21:00 AM,$7.65,4974999,,
Richmond,5,The friendly service. The young man that served me was pleasant and polite. Not a huge range for my dietary needs but a pleasant atmosphere.,19/10/2024 9:20:00 AM,$9.00,4975001,,
Cambridge  ,5,GREAT staff. So friendly :),19/10/2024 10:04:00 AM,$8.70,4975002,,
Upper Hutt,5,"The food and drinks, as well as the wonderful staff, were great thanks so much",19/10/2024 10:59:00 AM,$14.00,4975003,,
Takanini  ,5,Great service and friendly staff - our experience whenever we have visited!! Thank you Takanini ABCs Team!!!,19/10/2024 8:06:00 AM,$5.80,4975007,,
London St,5,Staff are always friendly and the coffee and food is always good.,19/10/2024 12:16:00 PM,$10.80,4975010,,
Invercargill  ,5,"I love the atmosphere, the service and the EXCELLENT coffee, which is consistently that way. It's my 'Go To' place to drink coffee and meet with friend.",19/10/2024 10:25:00 AM,$9.00,4975011,,
Oamaru  ,5,The freindly service and the coffee,19/10/2024 9:50:00 AM,$3.60,4975012,,
Warkworth  ,5,The service and the food,19/10/2024 10:09:00 AM,$21.40,4975013,,
Palmerston Nth ,5,the hot coffee and the friendly staff,19/10/2024 10:34:00 AM,$10.60,4975018,,
Invercargill  ,5,Lovely food & great service,19/10/2024 11:12:00 AM,$22.70,4975024,,
Aubyn  ,5,The friendly staff??,19/10/2024 10:50:00 AM,$12.00,4975025,,
Palmerston Nth,5,The service and the food is second to none,19/10/2024 10:05:00 AM,$44.30,4975030,,
Levin  ,5,Lovely friendly staff. The Levin place is always clean and the food is great.,19/10/2024 11:09:00 AM,$17.00,4975044,,
Te Awamutu  ,5,The staff and coffee are fantastic,19/10/2024 9:54:00 AM,$5.30,4975046,,
Nelson  ,3,I always enjoy sitting out in the garden area but was disappointed that the corn stack that I ordered had been heated at too high a temperature in the m/wave and the edges of the corn stacks were dry and hard ... and they also were a bit tasteless .. I added some salt. But the food is usually very good - just a bad day!,19/10/2024 11:07:00 AM,$9.20,4975048,,
Botany  ,5,the staff...always friendly....food and especially coffee always same quality.,19/10/2024 8:58:00 AM,$51.60,4975050,,
Ruakura  ,4,My food could have been slightly hotter,19/10/2024 9:35:00 AM,$37.60,4975055,,
Rotorua,5,"Personal service, good coffee",19/10/2024 7:57:00 AM,$17.60,4975056,,
Westgate  ,5,"Quality & taste of the food, and friendly service",19/10/2024 10:56:00 AM,$24.60,4975057,,
Ruakura  ,5,That scone with lemon curd and blueberries is out of this world. I know the other flavour will be too...I'll have that next time.,19/10/2024 9:32:00 AM,$10.50,4975059,,
Sylvia Park ,5,Cleanliness and service,19/10/2024 8:43:00 AM,$4.00,4975060,,
Pukekohe ,5,Your staff and food was exceptional as usual,19/10/2024 10:54:01 AM,$39.10,4975062,,
Rotorua,4,I had to ask for the correct change,19/10/2024 9:35:00 AM,$10.60,4975063,,
Te Rapa  ,5,"Nice window food, pleasant staff, atmosphere of garden",19/10/2024 9:37:00 AM,$16.60,4975068,,
Botany  ,5,"Yum CAB salad and a great flat white
Staff are great too :)",19/10/2024 11:42:00 AM,$25.50,4975071,,
Petone  ,5,"nice fast service, good tasting coffee",19/10/2024 8:38:00 AM,$10.60,4975074,,
Whangarei  ,5,Food was great and so were the staff.,19/10/2024 10:12:00 AM,$54.50,4975076,,
Napier  ,5,Very relaxing and friendly Place to go Dot Townshend,19/10/2024 8:27:00 AM,$4.50,4975077,,
Rotorua  ,5,"a friend and I have a Monday morning permanent catch up at the ABCs café in Mitre 10 Rotorua. Love the relaxed atmosphere, the food is great and the service exceptional. If something is not spot on the staff rectify it in a prompt, courteous and efficient manner.",19/10/2024 8:56:00 AM,$8.80,4975080,,
Botany ,5,I visit regularly and they remember my coffee order. They are very helpful and friendly. Always have a lovely smile and greeting.,19/10/2024 8:33:00 AM,$0.00,4975082,,
Levin  ,5,Always love the consistency of food - its flavour and presentation.,19/10/2024 11:37:00 AM,$94.80,4975084,,
Palmerston Nth,5,Thoughtful extra service received,19/10/2024 10:09:00 AM,$17.30,4975086,,
Petone  ,4,coffee too hot burnt my mouth,19/10/2024 9:08:00 AM,$5.80,4975087,,
Greymouth  ,5,Family friendly,19/10/2024 8:50:00 AM,$12.80,4975088,,
Greymouth  ,4,Better cabinet food selection,19/10/2024 12:30:00 PM,$16.10,4975092,,
Pukekohe  ,5,Great service,19/10/2024 8:08:00 AM,$10.80,4975095,,
Gate Pa ,5,"lovely team, grewat food. Thank you",19/10/2024 10:55:01 AM,$19.70,4975096,,
Rangiora,5,"Good food and coffee , staff on the ball""""",19/10/2024 9:48:00 AM,$8.50,4975097,,
Upper Hutt,5,Coffee always consistently good!,19/10/2024 9:42:00 AM,$9.00,4975100,,
Ferryhead,5,"lovely food, great coffee and friendly staff",19/10/2024 11:05:00 AM,$11.80,4975102,,
Papanui  ,5,"Really good coffee, nice presentation, quick service",19/10/2024 8:51:00 AM,$5.80,4975103,,
Invercargill,4,Have more gluten free savoury food,19/10/2024 11:30:00 AM,$10.50,4975104,,
Levin  ,5,The food was amazing. Staff really friendly. Lovely clean. Yum yum yum,19/10/2024 10:19:00 AM,$38.20,4975105,,
Henderson  ,5,Great Service,19/10/2024 1:35:00 PM,$9.80,4975106,,
Riccarton,5,Hot Coffee and friendly staff.,19/10/2024 8:38:00 AM,$10.26,4975107,,
Riccarton,5,Great service and friendly staff.,19/10/2024 10:30:00 AM,$4.70,4975108,,
Rotorua,5,"The fact that the serving person took the trouble to read my name and use it. 
The people in this store are always very friendly and prepared to vary a menu item if required.",19/10/2024 10:58:00 AM,$10.30,4975109,,
Domain,5,"The perfectly made coffee, along with the cheerful barista",19/10/2024 6:24:00 AM,$5.50,4975110,,
Napier  ,5,Lovely food and coffee. Friendly staff.,19/10/2024 9:32:00 AM,$5.00,4975113,,
Botany  ,5,Friendly service,19/10/2024 1:06:00 PM,$5.30,4975114,,
Ferryhead,4,"I never give top marks in any survey because, even though I am very happy with all aspects, I believe that NOTHING is ever perfect!!!",19/10/2024 10:30:00 AM,$10.80,4975115,,
Invercargill  ,5,"Service ,cleanliness and gray coffee",19/10/2024 10:26:00 AM,$15.70,4975119,,
